FirstName,LastNae,Address,ItemNumber,ItemType,PhoneNumber
Sandy,Singh,beresforrd road,4,freezer,415722546
Reshmi,Nair,beresforrd road,4,freezer,415722546
sfsfg,sdfsdg,tyu,ppoor,Chilled,9890978
abcd,efgh,kujk,tyi,Ambient,9898908
Re,N,34 Albert Road,fgh,Frozen,98080971
ioioio,ljjkl,sdsdfdf,ghjh,Chilled,9885234
bn,oo,ppio,hj,Ambient,7658986
bn,oo,ppio,hj,Ambient,7658986
bn,oo,ppio,hj,Ambient,7658986
Deepak,P,74 Henry Street,gj,Frozen,49746346
qwerty,x,60 Maria Street,hg,Frozen,775674
werww,gh,unit 7, gfhjh,h,Frozen,425645789
lkm,assd,8 tyuyi,k,Ambient,4323435
hiuhk,wqe,7 woodlands,l,Ambient,24535465
wewrr,okjl,78 Church Street,h,Chilled,9845343
sandeep,singh,95 bersford road,20,Frozen,415711251
sandeep,singh,95 bersford road,20,Frozen,415711251
sandeep,singh,95 bersford road,20,Frozen,415711251
sandeep,singh,95 bersford road,20,Frozen,415711251
sandeep,singh,95 bersford road,20,Frozen,415711251
sandeep,singh,95 bersford road,20,Frozen,415711251
sandeep,singh,95 bersford road,20,Frozen,415711251
sandeep,singh,95 bersford road,20,Frozen,415711251
sandeep,singh,95 bersford road,20,Frozen,415711251
sandeep,singh,95 bersford road,20,Frozen,415711251
sandeep,singh,95 bersford road,20,Frozen,415711251
reshmi,Nair,roop nagar prem gali,5,Chilled,415253654
reshmi,Nair,roop nagar prem gali,5,Ambient,415253654
reshmi,Nair,roop nagar prem gali,5,Frozen,415253654
